geneId:ID,name,:LABEL
ABR1,ABR1,Gene
ABRA,ABRA,Gene
ABRACL,ABRACL,Gene
ABT1,ABT1,Gene
ABTB1,ABTB1,Gene
ABTB2,ABTB2,Gene
ABZ1,ABZ1,Gene
ABZ2,ABZ2,Gene
ACA1,ACA1,Gene
ACA10,ACA10,Gene
ACA2,ACA2,Gene
ACA4,ACA4,Gene
ACA8,ACA8,Gene
ACAA1,ACAA1,Gene
ACAA2,ACAA2,Gene
ACACA,ACACA,Gene
ACACB,ACACB,Gene
ACAD10,ACAD10,Gene
ACAD11,ACAD11,Gene
ACAD8,ACAD8,Gene
ACAD9,ACAD9,Gene
ACADL,ACADL,Gene
ACADM,ACADM,Gene
ACADS,ACADS,Gene
ACADSB,ACADSB,Gene
ACADVL,ACADVL,Gene
ACAN,ACAN,Gene
ACAP1,ACAP1,Gene
ACAP2,ACAP2,Gene
ACAP3,ACAP3,Gene
ACAT1,ACAT1,Gene
ACAT2,ACAT2,Gene
ACB1,ACB1,Gene
ACBD3,ACBD3,Gene
ACBD4,ACBD4,Gene
ACBD5,ACBD5,Gene
ACBD6,ACBD6,Gene
ACBP1,ACBP1,Gene
ACBP2,ACBP2,Gene
ACBP4,ACBP4,Gene
ACBP5,ACBP5,Gene
ACBP6,ACBP6,Gene
ACC,ACC,Gene
ACC1,ACC1,Gene
ACC2,ACC2,Gene
ACCS,ACCS,Gene
ACD,ACD,Gene
ACD1,ACD1,Gene
ACD11,ACD11,Gene
ACD2,ACD2,Gene
ACD32.1,ACD32.1,Gene
ACD6,ACD6,Gene
ACE,ACE,Gene
ACE2,ACE2,Gene
ACER3,ACER3,Gene
ACF2,ACF2,Gene
ACF4,ACF4,Gene
ACH1,ACH1,Gene
ACHE,ACHE,Gene
ACHT3,ACHT3,Gene
ACI1,ACI1,Gene
ACIN1,ACIN1,Gene
ACK1,ACK1,Gene
ACKR1,ACKR1,Gene
ACKR2,ACKR2,Gene
ACKR3,ACKR3,Gene
ACKR4,ACKR4,Gene
ACL,ACL,Gene
ACLA-1,ACLA-1,Gene
ACLA-2,ACLA-2,Gene
ACLA-3,ACLA-3,Gene
ACLB-1,ACLB-1,Gene
ACLB-2,ACLB-2,Gene
ACLY,ACLY,Gene
ACM1,ACM1,Gene
ACMSD,ACMSD,Gene
ACN9,ACN9,Gene
ACO1,ACO1,Gene
ACO2,ACO2,Gene
ACO3,ACO3,Gene
ACOT1,ACOT1,Gene
ACOT11,ACOT11,Gene
ACOT13,ACOT13,Gene
ACOT2,ACOT2,Gene
ACOT4,ACOT4,Gene
ACOT7,ACOT7,Gene
ACOT8,ACOT8,Gene
ACOT9,ACOT9,Gene
ACOX1,ACOX1,Gene
ACOX2,ACOX2,Gene
ACOX3,ACOX3,Gene
ACOXL,ACOXL,Gene
ACP1,ACP1,Gene
ACP2,ACP2,Gene
ACP5,ACP5,Gene
ACP6,ACP6,Gene
ACPP,ACPP,Gene
ACR,ACR,Gene
ACR4,ACR4,Gene
ACR6,ACR6,Gene
ACR7,ACR7,Gene
ACRBP,ACRBP,Gene
ACS,ACS,Gene
ACS1,ACS1,Gene
ACS10,ACS10,Gene
ACS11,ACS11,Gene
ACS2,ACS2,Gene
ACS3,ACS3,Gene
ACS4,ACS4,Gene
ACS5,ACS5,Gene
ACS6,ACS6,Gene
ACS7,ACS7,Gene
ACS8,ACS8,Gene
ACSBG1,ACSBG1,Gene
ACSBG2,ACSBG2,Gene
ACSF2,ACSF2,Gene
ACSF3,ACSF3,Gene
ACSL1,ACSL1,Gene
ACSL3,ACSL3,Gene
ACSL4,ACSL4,Gene
ACSL5,ACSL5,Gene
ACSL6,ACSL6,Gene
ACSM3,ACSM3,Gene
ACSM4,ACSM4,Gene
ACSM5,ACSM5,Gene
ACSS1,ACSS1,Gene
ACSS2,ACSS2,Gene
ACSS3,ACSS3,Gene
ACT1,ACT1,Gene
ACT11,ACT11,Gene
ACT12,ACT12,Gene
ACT2,ACT2,Gene
ACT3,ACT3,Gene
ACT7,ACT7,Gene
ACT8,ACT8,Gene
ACTA1,ACTA1,Gene
ACTA2,ACTA2,Gene
ACTB,ACTB,Gene
ACTBL2,ACTBL2,Gene
ACTC1,ACTC1,Gene
ACTG1,ACTG1,Gene
ACTG2,ACTG2,Gene
ACTL6A,ACTL6A,Gene
