STATE_0;"(siamang:0.065711,(orangutan:0.048479,(gorilla:0.031899,(human:0.020887,(chimp:0.011077,bonobo:0.011077):0.009811):0.011012):0.01658):0.017233);"
STATE_1000;"(siamang:0.061483,(orangutan:0.054281,(gorilla:0.033387,(human:0.021839,(chimp:0.011972,bonobo:0.011972):0.009867):0.011548):0.020894):0.007202);"
STATE_2000;"(siamang:0.067532,(orangutan:0.05114,(gorilla:0.03017,(human:0.017511,(chimp:0.01123,bonobo:0.01123):0.006281):0.012659):0.02097):0.016392);"
STATE_3000;"(siamang:0.061469,(orangutan:0.045315,(gorilla:0.03119,(human:0.019582,(chimp:0.015376,bonobo:0.015376):0.004206):0.011608):0.014125):0.016154);"
STATE_4000;"(siamang:0.058006,(orangutan:0.055661,(gorilla:0.034881,(human:0.02918,(chimp:0.013021,bonobo:0.013021):0.016159):0.005702):0.020779):0.002346);"
STATE_5000;"(siamang:0.058216,(orangutan:0.05561,(gorilla:0.034652,(human:0.018613,(chimp:0.008447,bonobo:0.008447):0.010166):0.01604):0.020957):0.002606);"
STATE_6000;"(siamang:0.064596,(orangutan:0.042714,(gorilla:0.027976,(human:0.016798,(chimp:0.008998,bonobo:0.008998):0.0078):0.011178):0.014738):0.021882);"
STATE_7000;"(siamang:0.065996,(orangutan:0.052953,(gorilla:0.031846,(human:0.022072,(chimp:0.007887,bonobo:0.007887):0.014185):0.009773):0.021107):0.013043);"
STATE_8000;"(siamang:0.067044,(orangutan:0.062452,(gorilla:0.040846,(human:0.025619,(chimp:0.011232,bonobo:0.011232):0.014387):0.015227):0.021606):0.004592);"
STATE_9000;"(siamang:0.082769,(orangutan:0.046294,(gorilla:0.031109,(human:0.017483,(chimp:0.011719,bonobo:0.011719):0.005763):0.013626):0.015186):0.036475);"
STATE_10000;"(siamang:0.064919,(orangutan:0.051416,(gorilla:0.029859,(human:0.016876,(chimp:0.007582,bonobo:0.007582):0.009294):0.012983):0.021556):0.013503);"
STATE_11000;"(siamang:0.061172,(orangutan:0.058191,(gorilla:0.030396,(human:0.019956,(chimp:0.009242,bonobo:0.009242):0.010714):0.01044):0.027795):0.002981);"
STATE_12000;"(siamang:0.06788,(orangutan:0.063248,(gorilla:0.042928,(human:0.023297,(chimp:0.013689,bonobo:0.013689):0.009608):0.019631):0.02032):0.004632);"
STATE_13000;"(siamang:0.067696,(orangutan:0.0596,(gorilla:0.035003,(human:0.020162,(chimp:0.011363,bonobo:0.011363):0.008799):0.014841):0.024597):0.008097);"
STATE_14000;"(siamang:0.074813,(orangutan:0.058368,(gorilla:0.030251,(human:0.017433,(chimp:0.008648,bonobo:0.008648):0.008785):0.012818):0.028116):0.016446);"
STATE_15000;"(orangutan:0.049848,(siamang:0.049301,(gorilla:0.037435,(human:0.026425,(chimp:0.014547,bonobo:0.014547):0.011878):0.01101):0.011866):5.47E-4);"
